"model_id","model","threshold"
1,"logit1",0.6
2,"logit2",0.59
3,"logit3",0.61
4,"nb1",0.62
5,"nb2",0.79
6,"nb3",0.64
7,"dt1.1",0.6
8,"dt1.2",0.58
9,"dt1.3",0.58
10,"dt1.4",0.58
11,"dt1.5",0.58
12,"dt2.1",0.53
13,"dt2.2",0.58
14,"dt2.3",0.58
15,"dt2.4",0.58
16,"dt2.5",0.58
17,"dt3.1",0.56
18,"dt3.2",0.58
19,"dt3.3",0.58
20,"dt3.4",0.58
21,"dt3.5",0.58
22,"rf1.1",0.57
23,"rf1.2",0.6
24,"rf1.3",0.61
25,"rf1.4",0.61
26,"rf1.5",0.57
27,"rf2.1",0.59
28,"rf2.2",0.59
29,"rf2.3",0.58
30,"rf2.4",0.59
31,"rf2.5",0.6
32,"rf3.1",0.57
33,"rf3.2",0.6
34,"rf3.3",0.57
35,"rf3.4",0.62
36,"rf3.5",0.59
37,"xgb1.1",0.59
38,"xgb1.2",0.6
39,"xgb1.3",0.59
40,"xgb1.4",0.57
41,"xgb1.5",0.6
42,"xgb1.6",0.6
43,"xgb2.1",0.6
44,"xgb2.2",0.61
45,"xgb2.3",0.6
46,"xgb2.4",0.58
47,"xgb2.5",0.6
48,"xgb2.6",0.61
49,"xgb3.1",0.59
50,"xgb3.2",0.6
51,"xgb3.3",0.59
52,"xgb3.4",0.61
53,"xgb3.5",0.6
54,"xgb3.6",0.59
